# 本文件为【模拟数据】, 仅用于演示 dlt_tool 的分析能力, 非真实开奖记录。
# 生成方式: 固定随机种子 seed=20240920, 均匀随机抽取, 仅供统计分析教学演示。
# 字段: 期号,开奖日期,前区1..前区5,后区1,后区2
期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
SIM00052,2015-06-05,4,24,26,27,31,10,11
SIM00053,2015-06-08,2,6,9,18,26,4,5
SIM00054,2015-06-11,7,9,11,18,33,6,10
SIM00055,2015-06-14,12,18,27,30,31,2,7
SIM00056,2015-06-17,1,6,9,12,19,4,11
SIM00057,2015-06-20,7,9,18,31,34,6,12
SIM00058,2015-06-23,4,11,14,26,33,10,11
SIM00059,2015-06-26,16,21,28,30,31,4,9
SIM00060,2015-06-29,1,10,13,18,19,3,11
SIM00061,2015-07-02,5,10,16,28,31,2,7
SIM00062,2015-07-05,8,13,16,33,34,6,12
SIM00063,2015-07-08,5,7,20,23,28,5,9
SIM00064,2015-07-11,1,3,4,17,26,10,11
SIM00065,2015-07-14,5,13,23,25,33,2,11
SIM00066,2015-07-17,5,9,12,29,30,7,9
SIM00067,2015-07-20,8,12,15,20,34,9,12
SIM00068,2015-07-23,3,7,13,20,29,3,4
SIM00069,2015-07-26,2,7,8,17,32,5,12
SIM00070,2015-07-29,1,16,19,25,29,3,9
SIM00071,2015-08-01,11,12,22,26,27,1,12
SIM00072,2015-08-04,2,6,15,27,33,8,9
SIM00073,2015-08-07,11,17,20,21,22,1,11
SIM00074,2015-08-10,1,5,21,23,28,8,12
SIM00075,2015-08-13,11,22,28,33,35,8,11
SIM00076,2015-08-16,13,19,20,32,33,4,12
SIM00077,2015-08-19,2,5,14,27,32,6,9
SIM00078,2015-08-22,1,6,12,17,32,1,11
SIM00079,2015-08-25,1,6,14,21,26,2,11
SIM00080,2015-08-28,10,17,19,25,32,4,7
SIM00081,2015-08-31,3,22,25,32,34,2,9
SIM00082,2015-09-03,10,15,17,18,25,5,6
SIM00083,2015-09-06,3,13,21,24,26,6,9
SIM00084,2015-09-09,12,16,21,32,35,2,7
SIM00085,2015-09-12,5,16,25,30,31,6,7
SIM00086,2015-09-15,13,18,25,26,32,10,11
SIM00087,2015-09-18,9,14,17,20,28,3,9
SIM00088,2015-09-21,9,10,13,14,35,1,2
SIM00089,2015-09-24,3,7,10,11,26,8,12
SIM00090,2015-09-27,4,10,17,20,24,4,10
SIM00091,2015-09-30,3,22,25,30,33,7,11
SIM00092,2015-10-03,6,12,15,29,32,7,11
SIM00093,2015-10-06,4,15,19,28,32,2,10
SIM00094,2015-10-09,1,24,25,31,35,2,3
SIM00095,2015-10-12,4,9,16,33,35,1,3
SIM00096,2015-10-15,1,10,12,13,20,8,9
SIM00097,2015-10-18,3,9,15,17,28,6,12
SIM00098,2015-10-21,5,15,18,24,29,4,11
SIM00099,2015-10-24,13,20,25,26,34,2,11
SIM00100,2015-10-27,9,13,18,33,34,4,8
SIM00101,2015-10-30,2,9,18,19,20,3,6
SIM00102,2015-11-02,5,10,18,23,27,1,3
SIM00103,2015-11-05,7,12,18,21,34,1,4
SIM00104,2015-11-08,2,3,10,18,26,5,6
SIM00105,2015-11-11,10,11,23,24,32,4,10
SIM00106,2015-11-14,15,27,28,30,34,2,12
SIM00107,2015-11-17,18,19,23,26,29,3,6
SIM00108,2015-11-20,10,14,24,27,28,3,8
SIM00109,2015-11-23,6,23,24,30,35,5,11
SIM00110,2015-11-26,8,13,18,27,33,3,7
SIM00111,2015-11-29,7,9,13,16,24,1,11
SIM00112,2015-12-02,1,8,9,18,34,5,6
SIM00113,2015-12-05,3,5,6,21,33,10,12
SIM00114,2015-12-08,17,20,23,28,31,1,3
SIM00115,2015-12-11,3,5,16,18,28,2,5
SIM00116,2015-12-14,1,4,12,20,23,1,7
SIM00117,2015-12-17,3,6,14,18,28,1,5
SIM00118,2015-12-20,7,16,22,23,31,3,8
SIM00119,2015-12-23,11,22,23,24,29,10,11
SIM00120,2015-12-26,5,6,9,10,12,4,5
SIM00121,2015-12-29,7,9,17,22,25,2,5
SIM00122,2016-01-01,4,12,19,27,34,1,2
SIM00123,2016-01-04,1,4,15,23,30,3,11
SIM00124,2016-01-07,1,7,12,17,27,2,11
SIM00125,2016-01-10,20,22,28,31,33,2,12
SIM00126,2016-01-13,11,16,26,29,31,6,8
SIM00127,2016-01-16,13,15,18,30,33,3,8
SIM00128,2016-01-19,5,9,19,23,26,1,9
SIM00129,2016-01-22,7,8,10,19,34,1,5
SIM00130,2016-01-25,4,19,24,28,35,6,12
SIM00131,2016-01-28,7,10,11,17,28,7,9
SIM00132,2016-01-31,2,10,16,25,35,7,12
SIM00133,2016-02-03,11,13,20,25,33,4,12
SIM00134,2016-02-06,5,14,25,29,33,5,11
SIM00135,2016-02-09,5,9,14,29,33,8,9
SIM00136,2016-02-12,10,11,17,18,23,3,8
SIM00137,2016-02-15,6,11,18,29,30,3,10
SIM00138,2016-02-18,3,12,14,16,27,7,9
SIM00139,2016-02-21,2,5,8,11,17,3,4
SIM00140,2016-02-24,5,6,16,28,34,1,9
SIM00141,2016-02-27,6,7,18,20,34,8,12
SIM00142,2016-03-01,4,5,7,20,22,1,7
SIM00143,2016-03-04,4,20,25,27,33,1,2
SIM00144,2016-03-07,3,4,22,24,31,3,12
SIM00145,2016-03-10,10,11,17,30,34,3,4
SIM00146,2016-03-13,17,18,28,31,33,1,5
SIM00147,2016-03-16,4,7,8,10,30,2,6
SIM00148,2016-03-19,4,5,9,12,16,3,5
SIM00149,2016-03-22,8,12,14,23,27,1,8
SIM00150,2016-03-25,13,25,26,33,35,6,7
SIM00151,2016-03-28,2,5,25,31,34,6,10
SIM00152,2016-03-31,3,8,17,29,34,8,9
SIM00153,2016-04-03,9,10,15,19,35,8,10
SIM00154,2016-04-06,10,11,16,31,34,1,3
SIM00155,2016-04-09,1,6,15,23,32,3,11
SIM00156,2016-04-12,4,12,21,22,25,5,12
SIM00157,2016-04-15,1,16,23,27,33,2,11
SIM00158,2016-04-18,17,19,24,27,30,6,8
SIM00159,2016-04-21,1,6,14,24,26,6,8
SIM00160,2016-04-24,2,16,18,22,26,9,12
SIM00161,2016-04-27,7,9,12,17,21,2,5
SIM00162,2016-04-30,18,22,26,27,32,1,12
SIM00163,2016-05-03,6,7,15,21,30,7,8
SIM00164,2016-05-06,5,24,26,29,35,9,10
SIM00165,2016-05-09,5,13,21,27,31,1,12
SIM00166,2016-05-12,10,15,23,33,35,3,9
SIM00167,2016-05-15,8,15,21,26,35,3,11
SIM00168,2016-05-18,7,21,24,27,28,5,8
SIM00169,2016-05-21,13,14,15,20,28,3,7
SIM00170,2016-05-24,5,6,10,15,16,1,8
SIM00171,2016-05-27,9,15,21,22,31,1,11
SIM00172,2016-05-30,14,28,31,33,34,4,7
SIM00173,2016-06-02,3,10,20,33,34,3,5
SIM00174,2016-06-05,9,12,14,20,34,3,7
SIM00175,2016-06-08,2,4,11,22,32,1,6
SIM00176,2016-06-11,3,15,24,29,31,6,9
SIM00177,2016-06-14,1,15,19,24,32,7,10
SIM00178,2016-06-17,3,8,16,24,26,3,4
SIM00179,2016-06-20,7,23,24,26,27,1,7
SIM00180,2016-06-23,11,20,22,24,26,6,8
SIM00181,2016-06-26,2,5,6,11,34,3,5
SIM00182,2016-06-29,2,3,9,11,33,2,6
SIM00183,2016-07-02,3,11,15,16,31,7,10
SIM00184,2016-07-05,6,9,18,19,29,2,5
SIM00185,2016-07-08,12,25,27,28,33,3,9
SIM00186,2016-07-11,20,23,25,27,35,1,9
SIM00187,2016-07-14,1,2,12,32,34,5,7
SIM00188,2016-07-17,4,12,20,32,33,7,8
SIM00189,2016-07-20,2,6,10,11,18,2,4
SIM00190,2016-07-23,9,11,24,27,28,8,11
SIM00191,2016-07-26,1,2,10,20,34,5,9
SIM00192,2016-07-29,4,18,22,24,29,1,4
SIM00193,2016-08-01,3,5,14,15,25,6,12
SIM00194,2016-08-04,3,13,18,24,31,7,11
SIM00195,2016-08-07,6,12,23,27,33,5,11
SIM00196,2016-08-10,4,17,26,29,35,6,12
SIM00197,2016-08-13,3,4,7,11,35,3,6
SIM00198,2016-08-16,2,14,15,21,26,6,12
SIM00199,2016-08-19,1,10,14,21,29,4,11
SIM00200,2016-08-22,6,13,15,20,25,10,11
SIM00201,2016-08-25,3,22,24,27,32,1,10
SIM00202,2016-08-28,1,7,8,24,33,8,9
SIM00203,2016-08-31,2,5,17,22,30,8,9
SIM00204,2016-09-03,5,11,21,24,26,8,9
SIM00205,2016-09-06,1,11,14,15,30,2,9
SIM00206,2016-09-09,3,9,18,22,26,3,9
SIM00207,2016-09-12,9,13,19,27,34,5,7
SIM00208,2016-09-15,4,11,15,28,32,1,12
SIM00209,2016-09-18,1,13,21,22,35,4,7
SIM00210,2016-09-21,6,23,24,27,28,2,11
SIM00211,2016-09-24,4,5,6,9,12,5,12
SIM00212,2016-09-27,3,4,16,28,34,4,5
SIM00213,2016-09-30,9,19,27,28,32,3,12
SIM00214,2016-10-03,6,21,25,30,33,5,11
SIM00215,2016-10-06,3,13,17,18,25,7,8
SIM00216,2016-10-09,7,22,23,32,33,1,9
SIM00217,2016-10-12,13,15,20,28,35,1,4
SIM00218,2016-10-15,2,3,12,22,34,1,6
SIM00219,2016-10-18,1,9,11,19,22,3,9
SIM00220,2016-10-21,5,13,16,29,33,1,9
SIM00221,2016-10-24,1,5,18,19,35,3,5
SIM00222,2016-10-27,3,4,5,27,28,5,12
SIM00223,2016-10-30,7,8,9,12,15,4,12
SIM00224,2016-11-02,5,16,23,28,29,1,10
SIM00225,2016-11-05,3,9,22,28,32,6,12
SIM00226,2016-11-08,2,6,8,13,30,2,10
SIM00227,2016-11-11,6,11,20,21,32,5,11
SIM00228,2016-11-14,6,21,25,26,33,1,7
SIM00229,2016-11-17,7,8,23,26,35,1,10
SIM00230,2016-11-20,5,11,26,29,34,2,8
SIM00231,2016-11-23,10,12,20,31,35,2,7
SIM00232,2016-11-26,16,18,20,21,31,1,11
SIM00233,2016-11-29,8,11,16,25,33,3,10
SIM00234,2016-12-02,8,11,12,13,20,4,7
SIM00235,2016-12-05,9,14,18,19,30,3,9
SIM00236,2016-12-08,4,5,16,25,33,9,11
SIM00237,2016-12-11,8,13,16,29,31,3,12
SIM00238,2016-12-14,7,14,21,29,32,4,7
SIM00239,2016-12-17,13,14,16,18,32,8,12
SIM00240,2016-12-20,4,6,12,17,33,1,7
SIM00241,2016-12-23,9,17,22,29,31,3,6
SIM00242,2016-12-26,1,3,9,16,20,2,9
SIM00243,2016-12-29,5,22,26,28,34,2,7
SIM00244,2017-01-01,11,19,20,26,28,1,11
SIM00245,2017-01-04,10,15,23,29,32,4,12
SIM00246,2017-01-07,14,17,18,22,26,3,6
SIM00247,2017-01-10,4,14,29,31,33,10,11
SIM00248,2017-01-13,3,5,14,31,34,6,12
SIM00249,2017-01-16,8,9,14,24,32,3,5
SIM00250,2017-01-19,8,11,13,23,27,1,6
SIM00251,2017-01-22,2,22,23,28,29,2,9
SIM00252,2017-01-25,8,11,13,14,24,6,7
SIM00253,2017-01-28,2,6,13,27,30,4,12
SIM00254,2017-01-31,2,10,13,28,34,3,6
SIM00255,2017-02-03,5,6,15,24,30,9,11
SIM00256,2017-02-06,3,8,13,16,31,3,5
SIM00257,2017-02-09,4,6,11,17,22,1,12
SIM00258,2017-02-12,11,15,17,19,30,6,12
SIM00259,2017-02-15,7,9,10,27,28,7,8
SIM00260,2017-02-18,3,6,9,11,12,4,9
SIM00261,2017-02-21,7,11,17,28,31,8,12
SIM00262,2017-02-24,14,15,18,25,32,9,10
SIM00263,2017-02-27,9,19,25,27,35,5,7
SIM00264,2017-03-02,3,4,9,17,22,3,7
SIM00265,2017-03-05,9,15,21,23,29,1,3
SIM00266,2017-03-08,3,4,7,13,17,4,10
SIM00267,2017-03-11,3,16,21,23,33,2,8
SIM00268,2017-03-14,5,10,11,18,26,5,7
SIM00269,2017-03-17,1,6,10,12,30,2,10
SIM00270,2017-03-20,3,9,11,12,15,6,12
SIM00271,2017-03-23,12,18,23,33,34,6,8
SIM00272,2017-03-26,3,22,24,25,26,3,9
SIM00273,2017-03-29,3,4,22,26,27,8,9
SIM00274,2017-04-01,3,4,8,16,35,7,11
SIM00275,2017-04-04,4,9,12,18,27,3,11
SIM00276,2017-04-07,8,15,17,21,31,5,6
SIM00277,2017-04-10,4,16,19,29,32,2,5
SIM00278,2017-04-13,10,24,26,31,34,5,9
SIM00279,2017-04-16,2,8,21,29,35,2,3
SIM00280,2017-04-19,3,5,6,12,22,6,11
SIM00281,2017-04-22,6,9,11,13,31,6,11
SIM00282,2017-04-25,13,19,20,21,29,1,11
SIM00283,2017-04-28,2,17,19,30,32,2,10
SIM00284,2017-05-01,1,9,10,16,20,4,10
SIM00285,2017-05-04,2,5,7,12,28,9,11
SIM00286,2017-05-07,12,13,21,26,35,6,11
SIM00287,2017-05-10,10,11,17,23,26,4,8
SIM00288,2017-05-13,3,13,17,28,29,2,3
SIM00289,2017-05-16,8,24,28,29,35,6,10
SIM00290,2017-05-19,6,17,23,24,35,2,11
SIM00291,2017-05-22,4,9,20,23,24,6,12
SIM00292,2017-05-25,13,19,27,32,33,1,2
SIM00293,2017-05-28,7,8,11,14,26,3,9
SIM00294,2017-05-31,1,19,23,28,34,1,8
SIM00295,2017-06-03,7,12,14,19,31,8,12
SIM00296,2017-06-06,3,4,12,23,26,4,5
SIM00297,2017-06-09,3,24,31,34,35,9,10
SIM00298,2017-06-12,2,15,17,24,27,6,9
SIM00299,2017-06-15,9,12,27,28,35,1,9
SIM00300,2017-06-18,6,14,15,19,28,4,11
SIM00301,2017-06-21,5,6,13,14,32,4,6
SIM00302,2017-06-24,1,2,3,18,32,3,10
SIM00303,2017-06-27,5,6,7,12,24,1,9
SIM00304,2017-06-30,1,10,20,28,29,2,12
SIM00305,2017-07-03,9,18,21,31,34,9,11
SIM00306,2017-07-06,1,6,25,27,32,9,11
SIM00307,2017-07-09,2,17,20,26,32,6,7
SIM00308,2017-07-12,3,12,15,18,19,3,4
SIM00309,2017-07-15,20,24,30,33,35,2,8
SIM00310,2017-07-18,10,13,16,19,24,3,5
SIM00311,2017-07-21,5,14,17,21,25,3,5
SIM00312,2017-07-24,5,13,15,17,19,2,6
SIM00313,2017-07-27,1,6,15,18,35,4,11
SIM00314,2017-07-30,4,14,26,29,35,2,4
SIM00315,2017-08-02,5,6,16,27,30,1,10
SIM00316,2017-08-05,1,3,19,22,29,1,11
SIM00317,2017-08-08,1,6,12,19,27,4,7
SIM00318,2017-08-11,2,6,10,19,20,1,11
SIM00319,2017-08-14,3,4,7,23,31,2,8
SIM00320,2017-08-17,3,4,8,10,30,1,12
SIM00321,2017-08-20,3,20,21,24,34,2,8
SIM00322,2017-08-23,8,11,18,26,32,2,12
SIM00323,2017-08-26,1,22,26,28,32,9,12
SIM00324,2017-08-29,1,3,4,26,34,8,11
SIM00325,2017-09-01,2,9,17,18,30,5,12
SIM00326,2017-09-04,8,9,13,29,31,3,8
SIM00327,2017-09-07,7,12,20,27,32,1,3
SIM00328,2017-09-10,3,10,13,21,24,4,11
SIM00329,2017-09-13,3,5,6,8,9,3,12
SIM00330,2017-09-16,19,20,32,33,34,9,11
SIM00331,2017-09-19,3,4,23,24,29,8,10
SIM00332,2017-09-22,5,9,13,14,34,2,4
SIM00333,2017-09-25,11,19,26,27,34,4,5
SIM00334,2017-09-28,16,22,29,32,33,1,7
SIM00335,2017-10-01,6,23,25,30,31,8,11
SIM00336,2017-10-04,2,14,17,30,35,5,11
SIM00337,2017-10-07,3,6,8,27,33,2,3
SIM00338,2017-10-10,13,16,20,23,31,6,9
SIM00339,2017-10-13,1,3,5,14,15,2,6
SIM00340,2017-10-16,10,12,25,27,31,2,3
SIM00341,2017-10-19,6,14,15,31,34,3,10
SIM00342,2017-10-22,9,18,20,31,33,1,8
SIM00343,2017-10-25,8,11,17,20,30,1,11
SIM00344,2017-10-28,1,2,10,19,22,5,6
SIM00345,2017-10-31,3,10,13,30,31,3,10
SIM00346,2017-11-03,4,17,19,27,35,3,11
SIM00347,2017-11-06,9,12,18,24,33,7,10
SIM00348,2017-11-09,10,11,24,25,26,6,12
SIM00349,2017-11-12,1,5,14,22,32,5,11
SIM00350,2017-11-15,9,12,17,23,24,7,11
SIM00351,2017-11-18,11,19,22,23,28,4,8
SIM00352,2017-11-21,4,13,16,20,30,2,4
SIM00353,2017-11-24,7,11,17,27,35,1,3
SIM00354,2017-11-27,5,17,30,31,32,2,5
SIM00355,2017-11-30,2,11,15,18,23,5,9
SIM00356,2017-12-03,12,18,25,29,33,4,9
SIM00357,2017-12-06,4,7,20,27,32,6,12
SIM00358,2017-12-09,8,14,17,22,28,1,9
SIM00359,2017-12-12,4,5,7,18,21,5,9
SIM00360,2017-12-15,2,3,7,18,25,4,10
SIM00361,2017-12-18,10,14,16,17,32,1,2
SIM00362,2017-12-21,4,12,24,30,35,10,12
SIM00363,2017-12-24,3,6,22,31,34,1,11
SIM00364,2017-12-27,18,21,25,30,32,3,8
SIM00365,2017-12-30,3,23,27,28,35,6,12
SIM00366,2018-01-02,2,3,8,13,30,1,7
SIM00367,2018-01-05,12,19,23,27,29,2,7
SIM00368,2018-01-08,2,6,7,12,13,9,12
SIM00369,2018-01-11,3,12,19,25,33,4,10
SIM00370,2018-01-14,8,15,17,25,28,4,6
SIM00371,2018-01-17,1,8,9,23,24,4,9
SIM00372,2018-01-20,1,11,14,25,27,6,9
SIM00373,2018-01-23,3,11,23,27,28,5,7
SIM00374,2018-01-26,17,23,26,28,30,4,8
SIM00375,2018-01-29,3,17,21,27,35,5,7
SIM00376,2018-02-01,5,6,11,18,34,1,8
SIM00377,2018-02-04,13,19,20,27,31,6,7
SIM00378,2018-02-07,4,11,15,25,34,7,9
SIM00379,2018-02-10,14,16,19,23,26,8,12
SIM00380,2018-02-13,5,6,13,17,26,4,8
SIM00381,2018-02-16,6,12,14,31,34,5,11
SIM00382,2018-02-19,7,12,14,32,33,2,11
SIM00383,2018-02-22,6,9,13,21,32,6,9
SIM00384,2018-02-25,7,11,14,16,20,5,6
SIM00385,2018-02-28,2,7,11,23,26,7,10
SIM00386,2018-03-03,6,10,15,21,23,3,11
SIM00387,2018-03-06,19,29,30,33,34,8,9
SIM00388,2018-03-09,6,11,13,15,32,5,7
SIM00389,2018-03-12,1,5,8,21,35,2,9
SIM00390,2018-03-15,3,17,19,27,33,4,8
SIM00391,2018-03-18,1,18,20,23,27,8,11
SIM00392,2018-03-21,10,14,25,30,34,2,3
SIM00393,2018-03-24,4,11,20,25,35,7,10
SIM00394,2018-03-27,1,3,8,10,33,2,12
SIM00395,2018-03-30,6,12,20,26,30,1,2
SIM00396,2018-04-02,1,3,13,20,27,2,7
SIM00397,2018-04-05,7,10,17,24,27,7,12
SIM00398,2018-04-08,6,7,21,22,24,5,10
SIM00399,2018-04-11,17,23,27,29,35,3,9
SIM00400,2018-04-14,1,21,26,29,31,2,4
SIM00401,2018-04-17,17,18,23,29,34,1,9
SIM00402,2018-04-20,12,26,31,32,34,3,8
SIM00403,2018-04-23,1,6,10,15,33,6,11
SIM00404,2018-04-26,15,16,21,24,29,3,8
SIM00405,2018-04-29,2,4,9,24,29,7,9
SIM00406,2018-05-02,8,13,15,22,31,8,10
SIM00407,2018-05-05,5,9,22,24,30,4,10
SIM00408,2018-05-08,5,8,18,20,22,4,10
SIM00409,2018-05-11,7,14,22,26,34,10,12
SIM00410,2018-05-14,3,7,13,31,34,6,10
SIM00411,2018-05-17,14,18,25,32,35,9,10
SIM00412,2018-05-20,9,10,18,21,25,8,11
SIM00413,2018-05-23,2,5,18,30,32,2,12
SIM00414,2018-05-26,2,20,24,25,31,6,8
SIM00415,2018-05-29,1,5,7,29,34,1,6
SIM00416,2018-06-01,4,8,13,17,24,9,10
SIM00417,2018-06-04,1,2,13,17,31,4,9
SIM00418,2018-06-07,1,6,8,17,35,8,10
SIM00419,2018-06-10,2,5,10,15,24,2,5
SIM00420,2018-06-13,1,11,19,26,27,8,10
SIM00421,2018-06-16,4,5,7,10,33,3,7
SIM00422,2018-06-19,3,4,6,20,21,5,11
SIM00423,2018-06-22,8,15,20,23,29,4,7
SIM00424,2018-06-25,1,24,28,32,33,7,11
SIM00425,2018-06-28,2,24,30,31,33,4,6
SIM00426,2018-07-01,12,16,18,29,34,2,4
SIM00427,2018-07-04,9,18,29,32,35,7,12
SIM00428,2018-07-07,12,13,23,24,32,1,3
SIM00429,2018-07-10,6,7,12,20,25,7,12
SIM00430,2018-07-13,3,7,13,19,23,3,5
SIM00431,2018-07-16,3,4,16,21,35,1,10
SIM00432,2018-07-19,4,7,30,31,35,9,10
SIM00433,2018-07-22,11,13,18,21,26,7,9
SIM00434,2018-07-25,6,10,15,29,34,4,7
SIM00435,2018-07-28,5,6,17,26,30,2,10
SIM00436,2018-07-31,5,14,15,25,29,7,9
SIM00437,2018-08-03,5,10,21,22,29,4,7
SIM00438,2018-08-06,14,25,26,28,30,6,8
SIM00439,2018-08-09,9,11,13,28,29,1,11
SIM00440,2018-08-12,1,2,17,20,23,8,10
SIM00441,2018-08-15,4,7,8,10,28,6,7
SIM00442,2018-08-18,9,10,14,24,35,3,10
SIM00443,2018-08-21,5,19,21,22,32,11,12
SIM00444,2018-08-24,1,12,20,21,31,2,4
SIM00445,2018-08-27,4,19,27,31,35,2,8
SIM00446,2018-08-30,7,13,18,24,31,4,6
SIM00447,2018-09-02,9,11,14,15,20,4,5
SIM00448,2018-09-05,12,28,30,31,33,2,7
SIM00449,2018-09-08,2,14,22,31,35,4,11
SIM00450,2018-09-11,15,16,19,20,32,7,12
SIM00451,2018-09-14,5,8,11,13,27,3,10
SIM00452,2018-09-17,2,29,30,31,33,4,5
SIM00453,2018-09-20,10,17,18,22,26,4,10
SIM00454,2018-09-23,7,14,20,21,32,1,11
SIM00455,2018-09-26,7,10,19,28,34,5,7
SIM00456,2018-09-29,11,14,22,23,32,4,8
SIM00457,2018-10-02,2,3,9,26,27,4,7
SIM00458,2018-10-05,9,14,18,26,33,3,4
SIM00459,2018-10-08,3,14,25,27,35,2,8
SIM00460,2018-10-11,7,13,20,27,35,4,6
SIM00461,2018-10-14,11,17,26,27,35,5,8
SIM00462,2018-10-17,3,5,14,17,27,8,11
SIM00463,2018-10-20,3,15,19,20,31,6,8
SIM00464,2018-10-23,3,17,23,33,35,4,9
SIM00465,2018-10-26,5,10,29,32,33,5,6
SIM00466,2018-10-29,7,20,21,26,28,4,12
SIM00467,2018-11-01,9,10,17,32,34,1,11
SIM00468,2018-11-04,12,29,30,33,35,1,12
SIM00469,2018-11-07,8,12,18,23,29,2,12
SIM00470,2018-11-10,2,9,11,16,17,5,6
SIM00471,2018-11-13,12,15,16,18,35,1,8
SIM00472,2018-11-16,10,12,17,19,34,8,12
SIM00473,2018-11-19,10,14,16,21,35,1,9
SIM00474,2018-11-22,1,8,11,13,20,2,12
SIM00475,2018-11-25,3,6,8,13,16,6,9
SIM00476,2018-11-28,12,17,31,33,35,10,12
SIM00477,2018-12-01,11,13,17,21,29,5,7
SIM00478,2018-12-04,1,10,17,27,31,8,11
SIM00479,2018-12-07,10,12,14,25,26,2,4
SIM00480,2018-12-10,18,20,21,26,35,4,7
SIM00481,2018-12-13,20,27,29,30,31,1,4
SIM00482,2018-12-16,2,7,12,21,31,5,8
SIM00483,2018-12-19,10,23,26,27,33,4,8
SIM00484,2018-12-22,14,18,21,28,30,5,10
SIM00485,2018-12-25,9,15,19,25,26,7,9
SIM00486,2018-12-28,3,20,29,30,35,8,10
SIM00487,2018-12-31,2,10,19,25,33,7,8
SIM00488,2019-01-03,5,12,17,19,20,2,10
SIM00489,2019-01-06,3,19,21,24,30,4,9
SIM00490,2019-01-09,22,25,31,32,33,3,10
SIM00491,2019-01-12,14,16,21,22,35,4,9
SIM00492,2019-01-15,5,20,21,24,27,2,3
SIM00493,2019-01-18,4,7,16,19,31,6,7
SIM00494,2019-01-21,4,8,14,22,34,6,12
SIM00495,2019-01-24,4,17,21,24,31,4,9
SIM00496,2019-01-27,3,12,15,22,24,2,12
SIM00497,2019-01-30,4,9,18,20,23,8,12
SIM00498,2019-02-02,9,11,24,25,31,2,6
SIM00499,2019-02-05,3,8,14,20,30,2,6
SIM00500,2019-02-08,8,9,12,17,25,3,7
SIM00501,2019-02-11,11,15,22,25,30,4,7
SIM00502,2019-02-14,12,20,23,24,27,5,11
SIM00503,2019-02-17,6,18,21,22,33,1,9
SIM00504,2019-02-20,4,7,10,19,32,7,10
SIM00505,2019-02-23,2,7,8,10,22,7,12
SIM00506,2019-02-26,3,5,7,21,24,1,3
